H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0	0.022	0.022	0.128	0	0	0.082	0.004	0.053	0
0	0.016	0.016	0.08	0.071	0.063	0.082	0.004	0.036	0
0	0.03	0.04	0.044	0.071	0	0	0.028	0.032	0
0	0.017	0.047	0.04	0.091	0	0.082	0.007	0.035	0
0	0.038	0.025	0.038	0.071	0.126	0.082	0.004	0.037	0.0015
0.254	0.007	0.043	0.056	0.071	0.063	0.082	0.004	0.051	0
0	0.019	0.02	0.05	0	0.063	0	0.004	0.032	0
0	0.012	0.046	0.058	0	0.063	0.082	0.004	0.038	0
0	0.047	0.043	0.056	0.071	0.063	0	0.028	0.032	0
0.255	0.017	0.038	0.07	0.071	0.063	0.082	0.231	0.032	0.0376
0	0.024	0.058	0.072	0.071	0	0	0.028	0.046	0
0.244	0.007	0.065	0.059	0	0.063	0.122	0.099	0.066	0.00214
0	0.033	0.055	0.092	0	0	0.098	0.004	0.032	0
0	0.023	0.059	0	0	0.063	0.082	0.004	0.036	0
0	0.007	0.032	0	0	0.063	0.082	0.004	0.032	0
0	0.03	0.033	0.038	0	0	0	0.004	0.032	0
0.173	0.019	0.046	0.052	0.071	0	0	0.033	0.04	0.00705
0	0.031	0.05	0.038	0.102	0.063	0	0.108	0.037	0.023
0	0.025	0.037	0.089	0.071	0.063	0.082	0.004	0.032	0
0	0.024	0.053	0.038	0.071	0.063	0.082	0.004	0.036	0.0015
0	0.036	0.029	0.108	0.071	0	0.151	0.004	0.032	0.0098
0.725	0.025	0.067	0.058	0	0	0.082	0.004	0.032	0
0.243	0.036	0.055	0.038	0.071	0.114	0.082	0.004	0.032	0
0.17	0.043	0.057	0.047	0	0.063	0	0.004	0.032	0
0	0.027	0.034	0.052	0.071	0.063	0.082	0.004	0.034	0
0	0.025	0.069	0.04	0	0	0	0.004	0	0
0	0.022	0.033	0.047	0.071	0.063	0	0.022	0.042	0
0	0.029	0.02	0.038	0.071	0.063	0	0.004	0.034	0
0	0.042	0.056	0	0	0.316	0.082	0.004	0.036	0
0.148	0.026	0.026	0.08	0.094	0.063	0.082	1.57	0.045	0.00909
0	0.022	0.035	0.061	0.071	0.093	0.11	0.438	0.062	0.0595
0.255	0.026	0.026	0.102	0.084	0.196	0.103	1.12	0.034	0.0428
0	0.015	0.047	0.046	0.071	0	0.082	0.004	0.034	0
0	0.021	0.054	0.058	0	0	0.082	0.004	0.032	0.00138
0.224	0.037	0.069	0.08	0	0.316	0	0.052	0.035	0.00131
0	0.034	0.03	0.072	0.071	0.063	0	0.055	0.032	0.00288
0	0.031	0.033	0.038	0.071	0.164	0	0.004	0.033	0
0	0.039	0.035	0.044	0	0.135	0.119	0.052	0.126	0
0	0.047	0.066	0.048	0.071	0.063	0.154	0.072	0.032	0.00125
0.224	0.015	0.028	0.054	0.115	0.063	0.082	0.184	0.035	0.0294
0	0.024	0.06	0.075	0.071	0.063	0.082	0.004	0.055	0
0	0.028	0.05	0.038	0.088	0.063	0	0.028	0.034	0
0.272	0.028	0.016	0	0.084	0.063	0.096	0.116	0.058	0.0157
0.257	0.015	0.037	0.056	0.083	0	0	0.166	0.058	0.0152
0.51	0.037	0.045	0.056	0.071	0.063	0.082	0.004	0.035	0
0	0.03	0.046	0.083	0.071	0.063	0.082	0.004	0.032	0
0	0.024	0.034	0.066	0.071	0	0.082	0.004	0.032	0.00125
0.224	0.015	0.039	0	0.071	0.063	0.082	0.004	0.032	0
0	0.043	0.066	0.086	0.071	0.063	0	0.004	0.035	0.00268
0	0.022	0.037	0.054	0.071	0.063	0	0.004	0	0.00909
0	0.025	0.045	0.038	0.071	0	0.082	0.072	0.038	0.002
0	0.023	0.043	0.046	0.071	0.093	0.118	0.004	0.045	0
