H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0	0	0.028	0.05	0.16	0.063	0.082	0.173	0.054	0.281
0.335	0.027	0.055	0.822	0.071	0.083	0.082	0.004	0.124	0.00982
0.141	0.033	0.073	0.056	0.171	0.063	0	0.301	0.032	0.0531
0	0.022	0.016	0.075	0.086	0.063	0	0.078	0.042	0.0439
0	0.023	0.033	0.062	0.101	0	0.082	0.427	0.034	0.0497
0	0.036	0.044	0.046	0.071	0.063	0.082	0.236	0.032	0.0289
0	0.021	0.037	0.052	0.071	0.063	0.082	0.108	0.033	0.048
0	0.007	0.04	0.065	0.124	0.162	0.09	0.042	0.035	0.103
0.321	0.038	0.037	0.211	0.071	0.183	0.109	0.132	0.475	0.133
0.151	0.044	0.043	0.073	0.163	0.063	0.175	0.407	0.035	0.0435
0	0.021	0.031	0.05	0.102	0.114	0.082	0.615	0.045	0.166
0	0.019	0.028	0.076	0.071	0.063	0	0.029	0.041	0.0251
0	0.007	0.037	0.073	0.071	0.078	0.082	0.109	0.04	0.0234
0.199	0.007	0.03	0.128	0.081	0.088	0.138	0.156	0.084	0.0222
0.161	0.423	0.072	0.064	0	0.251	0.104	0.004	0.032	0
0	0.038	0.016	0	0.096	0	0.082	0.061	0.037	0.0625
0	0.019	0.03	0.054	0.071	0.063	0.082	0.103	0.038	0.0345
3.3	0.051	1.57	0.64	0.088	0.365	0.111	1020	0	0
0	0.007	0.048	0	0.071	0	0.082	0.386	0	0.0694
0	0.028	0.049	0.061	0.113	0	0	0.351	0.043	0
0.122	0	0.042	0.536	0.192	0.786	0	0.341	1.04	0.0273
0.141	0.007	0.044	0.047	0.071	0.063	0.082	0.095	0.036	0.00262
0.232	0.036	0.058	0.09	0.173	0.114	0.134	0.27	0.436	0.055
1.27	0	0.024	0.776	0.081	0.82	0.082	0.355	0.333	0.0637
0	0.027	0.024	0	0.15	0.1	0.087	1.63	0.032	0.0301
0.736	0.038	0.028	0.1	0.071	0.323	0.097	1.67	0.108	0.0241
0.864	0.037	0.026	0.083	0.081	0.106	0.088	1.12	0.051	0.0387
0.207	0.017	0.016	0.071	0.169	0.212	0.082	1.38	0.05	0.13
0	0.016	0.016	0.048	0.081	0.126	0.082	1.61	0.26	0.077
0	0.028	0.05	0.181	0.071	0.133	0.13	0.004	0.101	0.024
0	0.03	0.041	0.112	0.168	0.063	0.082	1.24	0.043	0.0338
0	0.037	0.016	0	0.086	0.063	0.137	2.12	0.036	0.0524
0	0.028	0.035	0.056	0.126	0.063	0.082	0.778	0.032	0.207
0.349	0.03	0	0	0.132	0.063	0	0.5	0.033	0.08
0.172	0.025	0.016	0.226	0.234	0.074	0.1	0.25	0.127	0.011
0	0.018	0.019	0.064	0.13	0.078	0.138	2.47	0.056	0.237
0	0.013	0.05	0.05	0.091	0.063	0.082	0.188	0.035	0.0624
0.105	0.021	0.033	0.038	0.071	0.239	0.165	0.239	0.034	0.0501
0.073	0.025	0.044	0.056	0.173	0.063	0.082	0.038	0.04	0.105
0	0.01	0.016	0.089	0.101	0.063	0	0.407	0.034	0.0762
1.71	0.007	0.038	0.206	0.106	0.083	0	0.241	0.032	0.142
0	0.031	0.016	0.058	0.107	0.212	0.094	0.566	0.042	0.0979
0	0.007	0.037	0.099	0.226	0	0.082	0.744	0	0.136
0.164	0.028	0.046	0.068	0.071	0.063	0	0.028	0.044	0.0562
0	0.026	0.045	0	0.094	0.092	0.13	0.004	0.038	0.0337
0	0.025	0.038	0.038	0.097	0.063	0.082	0.004	0.033	0.025
0.188	0.036	0.039	0.059	0.149	0.113	0.082	0.766	0.036	0.0487
0	0.027	0.051	0.056	0.104	0.063	0.124	0.076	0.06	0.294
0.331	0.024	0.016	0.07	0.208	0.083	0.082	1.94	0.035	0.127
0	0.017	0.025	0	0.138	0.212	0.15	1.91	0.04	0.147
