H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0.291	0.034	0.048	0.259	0.142	0	0.148	0.012	0.182	0.0124
0.022	0.03	0.063	0.038	0.071	0	0.033	0.184	0.039	0.0281
0.022	0.038	0.048	0.052	0.139	0.067	0.073	0.054	0.043	0.049
0.022	0.035	0	0.08	0.073	0.166	0.035	0.244	0.034	0.0247
0	0.035	0.048	0.038	0	0	0	0.341	0.032	0.0938
0.022	0.04	0.051	0.038	0.084	0.234	0.061	0.589	0.036	0.06
0	0.038	0.058	0.067	0.071	0.175	0.056	0.546	0.032	0.155
0.06	0.034	0.058	0.06	0.147	0.063	0.11	0.585	0.032	0.0643
0.022	0.04	0.072	0.038	0.071	0	0	0.576	0.032	0.027
0.087	0.036	0.048	0.038	0.077	0	0.091	0.894	0.044	0.0346
0.09	0.056	0.048	0.038	0.091	0.092	0.06	1.1	0.032	0.0659
0.191	0.036	0.048	0.052	0.11	0.194	0.036	0.98	0.032	0.0394
0.022	0.061	0.048	0.038	0.071	0.074	0.078	0.089	0.032	0.113
0.404	0.032	0.048	0.056	0.107	0.204	0.096	0.193	0.032	0.0264
0.073	0.051	0.067	0.038	0.072	0.1	0.054	0.132	0.032	0.0496
0	0.053	0.048	0.038	0.088	0.063	0.033	1.16	0.034	0.042
0.331	0.043	0.048	0.222	0.084	1.32	0.096	0.332	0.612	0.161
0.116	0.038	0.048	0.094	0.132	0.438	0.116	0.677	0.047	0.226
0.022	0.03	0.055	0.046	0.098	0	0.06	0.198	0.042	0.0331
0.838	0.084	0.062	0.394	0.669	0	0.179	0.202	0.111	0.0318
0.022	0.055	0.085	0.073	0	0.065	0.018	0.011	0.044	0.0141
0	0.036	0.056	0.038	0.088	0.084	0.028	0.021	0.04	0.015
0.022	0.04	0.058	0.052	0.096	0	0.018	0.059	0.032	0.0322
0	0.057	0.331	0.038	0.071	0	0	0	0.04	0.031
0.089	0.039	0.063	0.066	0.079	0.32	0.05	0.042	0.038	0.0286
0.133	0.03	0.055	0.038	0	0.68	0.018	0.089	0.037	0.032
0.022	0	0.482	0	0.071	0.431	0.079	71.8	0	2.46
0	0.03	0.06	0.038	0	0	0	0.38	0.032	0.0141
0.09	0.032	0	0.038	0.076	0	0.034	0.493	0.04	0.0045
0	0.048	0	0.072	0	0	0	0.027	0.032	0
0.022	0.036	0.052	0.049	0.11	0.083	0.018	0.043	0.032	0.0497
1.01	0.043	0	0.364	0.405	0.656	0.139	0.403	0.544	0.239
0.022	0.03	0.064	0.038	0.073	0.14	0.018	0.474	0.04	0.0129
0.137	0.036	0.048	0.066	0.362	0.248	0.165	0.186	0.301	0.0804
1.71	0.03	0.048	0.696	0.756	0.545	0.165	0.404	0.217	0.18
0.086	0.038	0.051	0.047	0.074	0.402	0.116	1.58	0.053	0.119
0.196	0.03	0.074	0.059	0.095	0.589	0.094	1.6	0.047	0.134
0.105	0.04	0.061	0.085	0.202	0.369	0.101	0.903	0.058	0.101
0.132	0.035	0.048	0.038	0.205	0.097	0.096	1.44	0.04	0.142
0.111	0.036	0.048	0.062	0.128	0.194	0.063	1.08	0.398	0.095
0.108	0.04	0.048	0.038	0.233	0.148	0.054	1.11	0.037	0.0504
0.022	0.038	0.048	0.059	0.097	0.102	0.053	0.361	0.032	0.0649
0.022	0.043	0.063	0.08	0	0	0.018	0.006	0.032	0
0.073	0.035	0.074	0.055	0.21	0	0.083	0.349	0.037	0.0735
0.424	0.043	0.079	0.038	0.173	0.225	0.093	0.267	0.038	0.0758
1.67	0.03	0	0.383	0.789	0.235	0.179	0.516	0.089	0.105
0.022	0.046	0.074	0.038	0.12	0	0.098	0.126	0.036	0.0322
0.166	0.047	0.05	0.102	0.136	0.18	0.051	5.58	0.032	0.077
0.022	0.038	0.048	0.054	0.178	0.288	0.105	1.01	0.035	0.169
0.054	0.033	0.048	0.06	0.129	0.261	0.1	1.1	0.04	0.0985
0.064	0.03	0.048	0.052	0.075	0.089	0.082	0.009	0.032	0.077
0.105	0.039	0.048	0.06	0.114	0.075	0.038	0.131	0.032	0.0544
0.122	0.037	0.048	0.049	0.079	0.162	0.054	0.21	0.032	0.301
0.073	0.036	0.048	0.049	0.128	0.332	0.033	0.188	0.033	0.0779
0.022	0.034	0.051	0.038	0.071	0.08	0.085	0.227	0.037	0.137
0.074	0.042	0.074	0.038	0.081	0	0.039	0.032	0.032	0.0168
0.307	0	0.05	0.038	0.071	0.078	0.073	0.029	0.032	0
0.059	0.03	0.048	0.038	0.142	0.186	0.018	0.548	0.032	0.0246
0.102	0.032	0.048	0.076	0.101	0.211	0.059	0.191	0.066	0.274
0.022	0.034	0.048	0.088	0.275	0.063	0.095	0.867	0.036	0.0496
0.022	0.04	0.072	0.072	0.084	0.101	0.072	0.815	0.033	0.058
0.133	0.035	0.048	0.038	0.098	0.063	0.055	0.338	0.041	0.0685
0.022	0.03	0.063	0.059	0.071	0.063	0.032	0.08	0.036	0.0192
0.141	0.03	0.048	0.049	0.098	0.27	0.069	0.287	0.033	0.0174
0.105	0.045	0.048	0.093	0.071	0.084	0.064	0.32	0.035	0.0571
0	0.048	0.461	0	0	0	0	0.021	0.032	0
0	0.046	0.052	0.146	0	0	0	0.325	0.046	0.0473
0	0.034	0.068	0	0.071	0.063	0	0.574	0.046	0.163
0	0.05	0.054	0.038	0.071	0	0	0.886	0.032	0.0477
0.08	0.039	0.068	0.038	0.342	0.063	0.096	1.9	0.045	0.0694
0.097	0.053	0.05	0.112	0.071	0.169	0.072	1.91	0.038	0.146
0	0.03	0.048	0.038	0.071	0.144	0.018	0.373	0.033	0.0972
0.073	0.038	0.048	0.038	0.071	0	0.043	0.488	0.039	0.09
0.648	0.036	0.048	0.412	0.077	0.132	0.152	0.011	0.54	0.19
0	0.043	0.057	0.038	0	0	0	0.021	0.05	0.0371
0.022	0.034	0.048	0.038	0	0	0.018	0.054	0.032	0.0521
0.022	0.05	0	0.093	0	0.063	0.018	0.009	0.041	0
0.022	0.041	0.062	0.052	0	0	0.018	0.016	0.037	0.0629
0	0.038	0.048	0	0	0	0	0.331	0.032	0.169
0.022	0.04	0.048	0.038	0.079	0	0.036	0.046	0.047	0.0229
0	0	0.048	0.038	0.11	0.265	0	1.27	0.059	0.109
0	0.054	0.063	0.052	0.073	0.115	0.018	2.18	0.045	0.256
0.064	0.03	0.048	0.038	0.094	0.135	0.068	0.586	0.035	0.0916
0.044	0.059	0.048	0.055	0.148	0.24	0.052	1.4	0.034	0.128
0	0.038	0.048	0.038	0.076	0	0.042	0.505	0.035	0.171
0.044	0.04	0.048	0.063	0.103	0.098	0.059	0.03	0.036	0.0181
0.111	0.067	0.048	0.038	0.105	0.072	0.026	0.079	0.033	0.0423
0.022	0.034	0.048	0.054	0.071	0	0.061	0.114	0.033	0.0482
0.364	0.035	0.081	0.078	0.136	0.083	0.136	0.167	0.051	0.0676
0.039	0.03	0.058	0.038	0.176	0.132	0.064	0.23	0.032	0.0322
0.044	0.044	0.048	0.038	0.093	0	0.082	0.66	0.033	0.224
0	0.049	0.048	0.045	0	0.103	0.049	2.1	0.051	0.534
0.044	0.033	0.048	0.078	0	0	0.065	0.036	0.037	0.0768
0.022	0.038	0.056	0.096	0.103	0.098	0.076	0.161	0.035	0.0334
0.089	0.038	0.048	0.045	0.085	0	0.033	0.049	0.044	0.033
0	0.038	0.075	0.038	0.071	0	0	0.202	0.032	0.0288
0.089	0.03	0.077	0.086	0.084	0.08	0.065	0.142	0.043	0
0.022	0.042	0.065	0.038	0.48	0.085	0.067	0.134	0.032	0.0665
0.049	0.044	0.055	0.047	0	0.152	0.085	0.05	0.045	0.0646
0	0.05	0.056	0.038	0.071	0.124	0.048	0.34	0.032	0.119
0.516	0.037	0.048	0.038	0.116	0.098	0.063	2.35	0.033	0.11
0.022	0.064	0.058	0.044	0.084	0.069	0.078	2.46	0.038	0.111
0.022	0.046	0.048	0.038	0.222	0.074	0.066	0.026	0.032	0.0416
0.022	0.049	0.048	0.038	0.071	0	0.044	0.038	0.036	0.0321
0.123	0.049	0.048	0.038	0.086	0	0.092	0.639	0.036	0.0299
0.349	0.038	0.048	0.593	0.129	0.22	0.089	0.81	0.124	0.144
0.514	0.043	0.048	0.05	0.073	0.102	0.062	0.047	0.042	0.0323
0	0.038	0.063	0.128	0	0.102	0.018	0.004	0.036	0.0464
0.022	0.035	0.068	0.087	0	0	0.028	0.008	0.057	0.0582
0	0.041	0.048	0.12	0	0	0.018	0	0.032	0.0501
0.022	0.054	0.062	0.093	0.121	0	0.058	0.906	0.045	0.0783
0	0.036	0.05	0.072	0.071	0.109	0.06	16	0.05	0.242
0.031	0.047	0.086	0.047	0.158	0.096	0.108	0.741	0.039	0.0773
0.119	0.058	0.074	0.156	0.079	0.367	0.065	0.937	0.434	0.223
0.063	0.03	0.051	0.052	0.135	0.124	0.09	0.184	0.041	0.0139
0.057	0.036	0.048	0.057	0.119	0.069	0.085	0.242	0.037	0.0296
0.133	0.047	0.06	0.038	0.104	0.235	0.101	0.055	0.044	0.0806
0.133	0.032	0.048	0.071	0.073	0	0.045	0.08	0.04	0.119
0.022	0.03	0.062	0.038	0.107	0.327	0.027	0.085	0.032	0.225
0.164	0.033	0.071	0.074	0.106	0.065	0.068	0.02	0.032	0.0299
0	0.03	0.059	0.038	0	0	0.018	0.009	0.04	0.0788
0.22	0.053	0.048	0.038	0.113	0	0.018	0.09	0.032	0.059
0.022	0.044	0.048	0.044	0.109	0	0.056	1.12	0.044	0.0677
0	0.045	0.048	0.063	0	0.68	0.018	0.298	0.175	0.154
0	0.03	0.048	0.134	0.071	0.083	0.087	0.285	0.032	0.0173
0.186	0.034	0.051	0.038	0.089	0	0.038	0.175	0.039	0.0193
0	0.051	0.048	0.064	0.071	0.084	0	0.341	0.032	0.0486
0.416	0.03	0.073	0.038	0.071	0.138	0.075	0.018	0.034	0
0.022	0.056	0.063	0.038	0.122	0.106	0.093	0.505	0.036	0.0643
0.196	0.062	0.058	0.047	0.164	0.08	0.078	0.45	0.048	0.241
0.022	0.036	0.058	0.038	0.114	0.165	0.04	0.187	0.035	0.105
0	0.048	0.048	0.038	0	0	0	0.079	0.032	0
0.022	0.032	0.052	0.057	0.084	0	0.018	0.082	0.032	0.0111
0.033	0	0	0.059	0.071	0.078	0.028	0.106	0.033	0.0149
0.022	0.03	0.074	0.038	0.071	0.106	0.063	0.107	0.037	0.0157
0	0.043	0.068	0	0	0	0	0.116	0.032	0.015
0.078	0.054	0.048	0.114	0.087	0.336	0.055	1.06	0.222	0.224
0	0.064	0.086	0.085	0	0	0.018	0.069	0.036	0
0.022	0.121	0.086	0.052	0	0	0.018	0.547	0.042	0
0.022	0.04	0.054	0.066	0	0	0.038	0.302	0.032	0.0458
0.154	0.042	0.048	0.038	0.161	0	0.059	1.63	0.032	0.0513
0.272	0.035	0.048	0.038	0.131	0.27	0.096	1.28	0.048	0.0348
0.111	0.03	0.048	0.038	0.096	0	0.034	1.1	0.032	0.063
0.225	0.03	0.048	0.038	0.1	0	0.018	0.094	0.033	0.0421
0.064	0.032	0.048	0.058	0.101	0	0.05	0.173	0.032	0.0424
0.451	0.036	0.048	0.418	0.233	0.328	0.098	2.03	0.074	0.441
0.088	0.041	0.048	0.166	0.14	1.17	0.068	0.128	0.404	1.23
0.022	0.063	0.09	0.139	0.084	0.365	0.072	2.18	0.053	0.752
0.188	0.042	0.059	0.044	0.083	0.063	0.018	0.107	0.032	0.0319
0.065	0.066	0.048	0.071	0.088	0.089	0.055	0.047	0.037	0.0465
0.139	0.05	0.054	0.1	0.08	0.111	0.106	0.026	0.044	0.0511
0.188	0.06	0.058	0.11	0	0.189	0.057	1.8	0.044	0.0642
0.078	0.037	0.048	0.057	0.131	0.103	0.106	0.16	0.035	0.074
0	0.039	0.048	0.059	0	0.198	0.018	0.284	0.032	0.0738
0.044	0.046	0.048	0.038	0.105	0.063	0.065	0.234	0.041	0.192
0	0.05	0.079	0.086	0.226	0.144	0.072	0.651	0.039	0.178
