H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0.022	0.03	0.09	0.038	0.071	0	0.034	0.013	0.032	0
0	0.03	0.068	0.08	0.071	0	0.054	0	0.034	0
0.022	0.045	0.068	0.038	0	0	0.033	0	0.032	0
0.074	0.03	0.054	0.038	0.093	0.151	0.072	0	0.062	0
0.218	0.041	0.048	0.038	0.342	0	0.039	0.009	0.032	0
0	0.034	0.06	0.077	0	0.202	0.091	0.015	0.032	0
0.133	0.064	0.068	0.066	0.1	0.082	0.035	0.013	0.038	0
0	0.038	0.07	0	0.071	0	0.038	0.002	0.052	0
0.068	0.035	0.048	0.038	0.161	0.166	0.038	0.006	0.035	0
0	0.035	0.055	0.038	0.071	0	0.087	0.047	0.033	0.0152
0.062	0.034	0.084	0.038	0.071	0.098	0.079	0.046	0.032	0
0.022	0.03	0.072	0.044	0.102	0	0.071	0.006	0.038	0
0.091	0.03	0.052	0.057	0.078	0.202	0.18	0.017	0.06	0.0317
0	0.044	0.076	0.085	0.071	0.089	0.03	0.015	0.032	0
0.373	0.033	0.055	0.316	0.1	0.184	0.097	0.034	0.235	0.0296
0	0.06	0.061	0.071	0.071	0.063	0.119	0.004	0.032	0
0	0.03	0.053	0	0	0	0.054	0.009	0.032	0
0.167	0.03	0.048	0.066	0.144	0	0.054	0.009	0.038	0
0.022	0.048	0.048	0.049	0	0.355	0.018	0.025	0.032	0.0153
0.126	0.036	0.048	0.038	0.115	0.106	0.056	0.352	0.032	0.0423
0.093	0.04	0.048	0.052	0.088	0.076	0.069	0.126	0.032	0.0193
0.022	0.038	0.058	0.055	0.071	0	0.018	0.125	0.04	0.0155
0.022	0.03	0.082	0.052	0.071	0.08	0.026	0.141	0.034	0.018
0.022	0.03	0.079	0.038	0.079	0.098	0.07	0.018	0.033	0.0152
0.147	0.038	0.064	0.038	0.071	0.181	0.052	0.071	0.036	0.0136
0	0.03	0.048	0.038	0	0	0.018	0.007	0.032	0
0	0.033	0.066	0.093	0	0	0.018	0.002	0.034	0
0	0.04	0.064	0	0	0.063	0	0.004	0.032	0
0.022	0.03	0.067	0.038	0.196	0	0.056	0.049	0.04	0
0.156	0.033	0.06	0.038	0.071	0	0.058	0.029	0.035	0
0	0.048	0.048	0.038	0	0	0.082	0.019	0.032	0
0.022	0.048	0.063	0.038	0	0	0.018	0.013	0.038	0
0	0.03	0.048	0.038	0	0	0.05	0.04	0.037	0
0	0	0.06	0	0.071	0.132	0.033	0.004	0.034	0
0	0.03	0.079	0.061	0	0.084	0	0.002	0.032	0
0.022	0.03	0.057	0.06	0	0	0.03	0.02	0.034	0
0.122	0.036	0.065	0.074	0.162	0.177	0.212	0.7	0.117	0.0333
0.022	0.038	0.048	0.046	0	0	0.018	0.009	0.098	0
0	0.032	0.048	0.038	0	0	0.036	0	0.032	0
0	0.052	0.048	0.038	0	0.063	0.041	0.002	0.032	0
0.224	0.03	0.048	0.045	0.117	0	0.064	1.18	0.032	0.0544
0.038	0.04	0.076	0.054	0.081	0.156	0.068	0.027	0.033	0.0199
0.022	0.044	0.079	0.047	0.073	0.159	0.068	0.002	0.053	0
0.022	0.03	0.068	0.06	0.071	0.063	0.057	0.042	0.032	0.0045
0.101	0.03	0.072	0.074	0.074	0.083	0.066	0.006	0.035	0
0.169	0.047	0.048	0.044	0.082	0.083	0.069	0.004	0.032	0
0.21	0.045	0.054	0.068	0.076	0.074	0.079	0.004	0.042	0
0.164	0.03	0.054	0.038	0.08	0.063	0.082	0.027	0.035	0.0169
0.022	0.034	0.058	0.038	0.081	0.091	0.076	0.015	0.049	0
0.022	0.039	0.048	0.052	0.071	0.158	0.057	0.021	0.032	0
0.039	0.053	0.048	0.038	0.089	0.11	0.082	0.023	0.036	0.0167
0.022	0.037	0.054	0	0.112	0	0.018	0.004	0.032	0
0.105	0.036	0.048	0.12	0	0.08	0.056	0	0.038	0
1.03	0.03	0	0.307	2.01	0.49	0.159	0.36	0.432	0.29
0.085	0.048	0.048	0.068	0.077	0.125	0.056	0.004	0.035	0.0572
0.022	0.052	0.064	0.048	0.071	0	0.018	0.004	0.032	0
0.022	0.038	0.054	0.038	0.071	0	0.038	0.006	0.032	0
0.111	0.033	0.048	0.076	0.079	0.14	0.057	0.002	0.032	0
0.022	0.033	0.06	0.038	0.071	0	0.018	0.002	0.032	0
0.022	0.042	0.059	0.038	0.077	0.063	0.018	0.002	0.032	0
0.022	0.044	0.072	0.049	0	0.217	0	0	0.032	0
0.031	0.08	0.062	0.092	0.071	0	0.038	0	0.032	0
0	0.034	0.048	0.038	0	0.074	0	0.006	0.032	0
0.073	0.042	0.06	0.038	0	0.063	0.08	0.006	0.041	0
0.022	0.039	0.048	0	0.073	0.208	0.018	0	0.032	0
0.022	0.03	0.09	0.056	0.071	0	0.074	0	0.04	0
0.022	0.047	0.068	0.038	0.084	0	0.018	0.002	0.054	0
0	0.032	0	0.038	0.071	0.063	0.018	0.004	0.032	0
0.087	0.052	0.048	0	0.071	0	0.048	0.003	0.032	0
0	0.03	0.048	0.038	0	0.08	0.018	0.031	0.032	0
0	0.042	0.048	0.052	0	0.076	0.018	0.004	0.038	0
0	0.045	0.063	0.038	0	0	0	0.042	0.038	0
0.32	0.033	0.068	0.038	0	0.08	0.032	0.021	0.034	0
0.022	0.03	0.051	0.052	0.126	0.695	0.079	0.029	0.035	0
0.22	0.035	0.048	0.038	0.101	0	0.077	0.2	0.036	0.0274
0	0.033	0.048	0.038	0	0.106	0.036	0.003	0.034	0
0	0.03	0.057	0.049	0	0.076	0.033	0.009	0.032	0
0.047	0.043	0.063	0.064	0.077	0.09	0.135	0.004	0.061	0.0167
1.21	0.037	0.055	0.359	0.308	0.096	0.196	0.012	0.172	0.027
0.022	0.03	0.065	0.038	0.093	0.08	0.066	0.071	0.033	0.0131
0.864	0.03	0.068	0.55	0.425	0.133	0.095	0.071	0.212	0.0404
0	0.03	0.065	0.038	0.071	0.063	0.018	0.002	0.037	0
0.029	0.036	0.064	0.044	0.079	0.22	0.039	0.015	0.032	0.016
0.075	0.039	0.068	0.058	0.071	0	0.06	0.01	0.038	0.0035
0.022	0.053	0.051	0.049	0.078	0	0.018	0.004	0.037	0
0.13	0.032	0.058	0.06	0.086	0.551	0.082	0.028	0.077	0.0361
0.085	0.032	0.048	0.038	0.071	0.178	0.073	0	0.032	0
0.044	0.03	0.048	0.038	0.071	0.167	0.052	0.002	0.034	0
0.022	0.034	0.068	0.038	0.071	0	0.066	0.006	0.04	0.0369
0.089	0.089	0.06	0.038	0.083	0	0.074	0.027	0.032	0
0.022	0.03	0.061	0.06	0.098	0.08	0.073	0.043	0.034	0
0.282	0.044	0.076	0.066	0	0.091	0.018	0.015	0.033	0
0	0.037	0.061	0.038	0.096	0.599	0.018	0.006	0.032	0
0	0.041	0.048	0.066	0	0	0.018	0.006	0.034	0
0.022	0.03	0.083	0.054	0.071	0	0.06	0.006	0.034	0
0	0.043	0.048	0.038	0.071	0	0	0.004	0	0
0	0.03	0.052	0.038	0	0	0	0.011	0.032	0
0.022	0.048	0.06	0.038	0.071	0.065	0.018	0.006	0.038	0
0.03	0.05	0.048	0.038	0.071	0.08	0.062	0.009	0.041	0
0.078	0.037	0.09	0.049	0.089	0.097	0.035	0.167	0.036	0.0395
0.064	0.03	0.066	0.038	0.071	0	0.038	0.009	0.032	0
0.022	0.04	0.048	0.052	0	0	0	0.025	0.032	0
0.022	0.03	0.048	0.082	0.071	0	0.018	0	0.033	0
0.115	0.038	0.048	0	0.099	0	0.076	0.002	0.035	0
0	0.042	0.058	0.066	0.096	0.074	0.018	0.002	0.032	0
0.188	0.037	0.054	0.038	0.071	0	0.018	0.059	0.04	0.1
0	0.053	0.052	0	0	0	0	0.002	0	0
0	0.034	0.072	0.049	0	0	0	0.068	0.032	0
0	0.03	0.048	0.038	0.366	0.162	0.036	0	0.032	0
0	0.039	0.063	0.038	0	0	0.018	0.033	0.032	0
0.022	0.03	0.051	0.038	0	0	0.018	0.002	0.036	0
0.258	0.033	0.054	0.045	0.131	0	0.018	0.004	0.037	0
0	0.034	0.071	0.038	0	0	0.018	0.009	0.042	0
0	0.047	0.054	0.038	0	0.063	0	0.083	0.032	0
0.073	0.036	0.058	0.044	0	0.093	0.039	0.019	0.038	0
0.133	0.036	0.058	0.051	0.155	0.181	0.147	1.07	0.034	0.0795
0.17	0.042	0.064	0.08	0.082	0.306	0.079	0.009	0.04	0
0.022	0.049	0.058	0.053	0.088	0	0.078	0.036	0.046	0.0347
0.048	0.045	0.048	0.038	0.071	0.076	0.018	0.011	0.043	0
0.063	0.059	0.048	0.049	0.073	0	0.028	0.002	0.033	0
0.122	0.057	0.048	0.038	0.103	0.239	0.079	0.02	0.033	0.0212
0.05	0.044	0.058	0.061	0.086	0	0.071	0.078	0.05	0.0121
0.142	0.064	0.063	0.056	0.117	0	0.071	0.011	0.034	0.0139
0.122	0.04	0.048	0.045	0.086	0.08	0.038	0.013	0.032	0
0.022	0.042	0.048	0.038	0.086	0	0.018	0.463	0.039	0.0602
0.022	0.037	0.073	0.092	0.092	0.063	0.099	0.018	0.093	0.0295
0.089	0.03	0.052	0.038	0.1	0.491	0.018	0.019	0.032	0
0.022	0.036	0.052	0.047	0.073	0	0.03	0.009	0.04	0
0	0.043	0.048	0.08	0	0.076	0	0.013	0.033	0
0	0.035	0.051	0.038	0	0.115	0.018	0	0.032	0
0	0.04	0.079	0.038	0	0	0.018	0	0.032	0
0.111	0.039	0.068	0.038	0.071	0.123	0.068	1.44	0.035	0.0809
0.069	0.033	0.055	0.038	0.091	0	0.036	0	0.032	0
0.076	0.034	0.055	0.038	0.071	0	0.039	0	0.04	0
0	0.03	0.072	0.038	0	0.063	0.018	0.004	0.036	0
0	0.034	0.094	0.038	0	0	0.061	0.004	0.035	0
0.022	0.044	0.048	0.038	0.071	0	0.038	0.004	0.035	0
0.022	0	0.063	0.038	0.096	0	0.018	0.945	0.033	0.0749
0	0.03	0.048	0.052	0.075	0.089	0.034	0.009	0.032	0
0.327	0.03	0.048	0.08	0.096	0	0.044	0.009	0.038	0.015
0.236	0.03	0.079	0.038	0.071	0.063	0.018	0.009	0.032	0
0	0	0.051	0.059	0	0.119	0.038	0.06	0.033	0
0.022	0.043	0.048	0.066	0	0	0.068	0.009	0.032	0.0095
0	0.03	0.096	0.12	0	0.181	0.018	0.009	0.032	0
0	0.047	0.048	0.069	0	0	0.018	0	0.032	0
0.022	0.043	0.054	0.038	0.098	0.173	0.08	0.003	0.032	0
0.097	0.041	0.064	0.07	0.515	0.508	0.05	0.004	0.037	0
