H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.046	0.043	0.036	0.03	0.011	0.053	0.006	0.004	0.004	0	2.92	0	0.406	0.051	0.08
0.039	0.039	0.041	0.022	0.007	0.047	0.042	0	0.009	0	0.079	0	0.324	0	0.055
0.048	0.045	0.032	0.022	0.004	0.065	0.026	0	0.007	0	0.295	0	0.474	0	0.055
0.043	0.039	0.032	0.022	0.004	0.209	0.028	0	0.013	0	0.328	2	0.578	0.051	0.055
0.039	0.041	0.054	0.029	0.018	0.043	0.005	0.014	0.005	0.056	0.527	0	0.332	0.051	0.058
0.041	0.047	0.048	0.028	0.011	0.04	0.015	0.092	0.009	0.056	0.587	0	0.334	0.051	0.06
0.049	0.068	0.034	0.035	0.015	0	0.006	0.246	0.008	0.056	0.873	0	0.404	0.051	0.087
0.039	0.04	0.035	0.036	0.004	0.04	0.033	0	0.005	0	0.77	0	0.412	0.051	0.055
0.039	0.048	0.032	0.022	0.015	0.073	0.019	0	0.007	0.056	0.797	0	0.492	0.081	0.056
0.042	0.046	0.036	0.033	0.011	0.038	0.031	0	0.008	0	0.289	0	0.396	0.051	0.055
0.039	0.04	0.034	0.041	0.018	0.025	0.019	0.002	0.012	0	0.135	0	0.456	0.051	0.066
0.043	0.044	0.039	0.047	0.015	0.09	0.014	0.002	0.016	0	0.088	0	0.456	0.051	0.065
0.052	0.039	0.036	0.022	0.007	0.051	0.04	0.002	0.011	0.056	0.407	0	0.436	0.051	0.062
0.039	0.054	0.032	0.029	0.004	0.03	0.018	0	0.004	0	1.21	0	0.354	0.051	0.063
0.039	0.04	0.035	0	0.011	0.06	0.015	0	0.012	0	0.836	0	0.48	0.051	0
0.039	0.039	0.032	0.022	0.007	0.022	0.048	0	0.013	0	0.297	0	0.454	0.061	0.071
0.039	0.039	0.034	0.022	0.019	0.047	0.027	0	0.015	0	0.271	0	0.434	0.056	0.065
0.044	0.039	0.032	0.022	0.026	0.029	0.057	0.003	0.012	0	0.176	0	0.558	0.051	0
0.039	0.067	0.037	0.078	0.084	0.025	0.028	1.65	0.006	0.056	0.341	0	0.352	0	0.095
0.039	0	0.044	0.022	0.011	0.027	0.006	0.002	0.004	0	0.206	0	0.274	0	0.055
0.039	0.039	0.032	0.028	0.015	0.099	0.041	0	0.008	0	0.195	0	0.316	0.051	0.055
0.039	0.039	0.034	0.022	0.004	0.062	0.051	0	0.012	0	0.804	0	0.388	0.051	0
0.051	0.039	0.043	0.043	0.004	0.018	0.006	0.012	0.005	0	2.48	0	0.412	0	0.066
0.043	0.039	0.044	0.036	0.004	0.024	0.055	0	0.006	0	0.312	0	0.306	0.051	0.058
0.039	0.041	0.04	0.045	0.04	0.055	0.013	0	0.011	0.056	0.286	1	0.44	0.051	0.056
0.039	0.041	0.045	0.022	0.047	0.018	0.022	0.008	0.008	0	0.535	0	0.39	0.051	0.087
0.039	0.039	0.035	0.039	0.011	0.033	0.035	0.004	0.006	0	0.166	0	0.4	0.051	0.056
0.039	0.041	0.036	0.03	0.011	0.04	0.029	0.004	0.005	0.056	0.411	0	0.352	0.051	0.055
0.043	0	0.036	0.029	0.004	0.033	0.027	0.002	0.007	0	2.89	0	0.466	0.051	0.055
0.039	0.039	0.035	0.022	0.018	0.034	0.007	0	0.009	0	0.086	0	0.402	0.061	0.055
0	0	0.037	0.036	0.004	0.033	0.006	0	0.007	0	0.36	0	0.296	0.051	0.055
0.039	0.041	0.036	0.022	0.074	0.029	0.041	0.003	0.006	0	0.417	0	0.376	0.051	0.076
0.039	0.044	0.046	0.026	0.018	0.027	0.015	0	0.015	0	0.053	0	0.428	0.051	0.058
0.039	0.041	0.039	0.047	0.004	0.082	0.039	0	0.01	0	0.052	0	0.386	0.058	0.065
0.039	0.039	0.035	0.028	0.004	0.067	0.044	0.016	0.019	0	0.171	0	0.454	0.064	0.055
0.039	0.039	0.035	0.029	0.011	0.039	0.012	0.009	0.009	0	0.059	0	0.326	0.051	0.092
0.039	0.047	0.046	0.056	0.015	0.142	0.02	0.033	0.018	0	0.055	0	0.39	0.051	0.056
0.039	0.043	0.04	0.03	0.004	0.027	0.005	0.026	0.012	0	0.147	0	0.428	0.056	0.055
0.039	0.039	0.039	0.038	0.011	0.04	0.014	0	0.008	0	0.785	0	0.292	0.058	0.057
0.039	0.042	0.032	0.022	0.004	0.027	0.006	0.003	0.011	0	0.464	0	0.398	0.073	0.066
0.039	0.039	0.04	0.022	0.011	0.033	0.006	0	0.01	0	0.031	0	0.348	0.051	0.065
0.039	0.039	0.046	0.032	0.004	0.032	0.027	0.003	0.014	0	0.046	0	0.398	0.051	0.055
0.039	0.057	0.048	0.033	0.04	0.025	0.036	1.26	0.012	0.063	0.156	0	0.296	0	0.08
0.039	0.05	0.036	0.039	0.015	0.032	0.045	0.618	0.006	0.056	0.118	0	0.284	0.051	0.104
0.039	0.039	0.034	0.022	0.011	0.03	0.023	0	0.008	0	0.643	0	0.354	0.051	0
0.039	0.039	0.032	0.022	0.018	0.042	0.016	0.037	0.014	0	1.96	0	0.398	0.051	0.064
0.039	0.043	0.039	0.022	0.015	0.02	0.005	0.006	0.016	0	0.08	0	0.312	0.062	0.055
0.039	0.049	0.05	0.033	0.004	0.018	0.007	0.008	0.008	0.056	0.863	0	0.278	0.051	0.055
0.039	0	0.032	0.022	0.011	0.034	0.027	0.002	0.009	0	0.847	0	0.388	0.051	0.055
0.054	0	0.05	0.047	0.011	0.032	0.027	0.008	0.007	0	0.054	0	0.29	0.051	0.074
0.039	0.039	0.034	0.022	0.023	0.048	0	0	0.013	0	0.144	0	0.368	0.059	0.061
0	0	0.048	0.022	0.03	0.038	0.037	0.012	0.009	0	0.094	0	0.348	0	0.055
0.043	0	0.035	0.022	0.03	0.057	0.024	0	0.013	0	0.331	0	0.402	0.071	0.058
0.045	0	0.032	0.022	0.007	0.039	0.007	0	0.007	0	0.372	0	0.334	0.051	0
0.046	0.044	0.032	0.022	0.004	0.032	0.019	0	0.008	0	0.287	0	0.34	0	0.062
0.059	0.051	0.032	0.062	0.011	0.039	0	0	0.009	0	0.447	0	0.35	0.066	0.056
0.039	0	0.032	0.05	0.015	0.036	0.015	0	0.011	0	0.033	0	0.314	0	0.055
0.039	0	0.038	0	0.018	0.023	0.036	0.004	0.008	0	0.098	0	0.278	0	0.055
0.039	0.039	0.036	0.028	0.004	0.043	0.015	0.002	0.007	0	0.11	0	0.304	0	0.062
0.039	0	0.032	0.022	0.004	0.044	0.082	0	0.009	0.056	0.784	0	0.428	0	0.082
0.039	0.039	0.049	0.03	0.018	0.026	0.031	0	0.004	0	0.51	0	0.316	0	0
0.039	0.044	0.042	0.022	0.011	0.037	0.042	0.014	0.01	0	0.581	0	0.35	0.051	0
0.039	0.039	0.042	0.033	0.007	0.021	0.02	0.003	0.012	0	0.09	0	0.34	0.051	0.071
0.054	0.041	0.034	0.027	0.015	0.049	0.042	0	0.019	0	0.162	0	0.416	0.051	0.055
0.048	0.039	0.036	0.029	0.018	0.039	0.025	0	0.014	0.084	0.353	0	0.384	0.058	0.062
0.045	0.041	0.032	0.047	0.076	0.028	0.024	0	0.032	0	0.088	0	0.418	0	0.063
0.039	0.039	0.037	0.032	0.023	0.018	0.014	0	0.009	0	0.099	0	0.37	0.062	0.056
0	0.043	0.038	0.034	0.007	0.028	0.01	0	0.01	0	0.067	0	0.404	0.051	0.062
0.039	0.039	0.032	0.033	0.042	0.018	0.006	0	0.01	0	0.038	0	0.326	0.051	0.071
0.069	0.039	0.038	0.04	0.004	0.034	0.031	0	0.011	0	0.428	0	0.37	0	0.055
0.042	0.039	0.032	0.056	0.022	0.018	0.027	0.003	0.01	0	0.213	0	0.464	0.071	0.062
0	0	0.037	0.047	0.004	0	0.007	0.003	0.005	0	0.08	0	0.312	0	0.112
0.048	0.046	0.041	0.026	0.023	0.035	0.02	0	0.014	0	0.043	0	0.344	0.051	0.06
0.039	0.039	0.035	0.026	0.004	0.034	0.015	0	0.01	0	0.034	0	0.374	0.051	0
0.045	0.039	0.038	0.064	0.018	0.021	0.007	0.003	0.01	0	0.074	0	0.352	0.062	0.065
0.039	0.044	0.036	0.022	0.004	0.018	0.024	0.003	0.007	0.056	1.18	0	0.404	0.051	0.061
0.039	0.046	0.034	0.022	0.015	0.05	0	0	0.009	0	0.346	0	0.41	0.051	0
0	0.039	0.032	0.067	0.004	0	0	0.012	0.009	0	0.096	0	0.422	0	0
0.039	0.044	0.034	0.03	0.022	0.018	0	0.256	0.011	0.056	0.299	0	0.326	0.051	0.055
