H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.542	0.042	0	0.022	0.188	0	0.394	1.29	1.02	0.51	0.428	0	0.554	0.243	0.154
0.054	0.058	0.044	0.072	0.004	0.024	0.005	0.032	0.005	0.056	7.99	2	0.46	0.077	0.055
1.43	0.046	0.035	0	1.04	0.05	1.46	1.15	0.302	0.482	0.539	3	0.748	0.095	0.197
1.2	0.042	0.046	0.022	1.08	0.035	0.993	0.22	0.474	0.439	0.748	0	0.636	0.083	0.179
0.047	0.102	0.049	0.123	0.083	0.025	0.035	1.21	0.018	0.14	1.06	0	0.488	0.064	0.067
0.547	0.039	0.032	0.039	0.303	0.045	0.532	0.034	0.457	0.072	0.487	4	0.718	0.076	0.113
0.048	0.039	0.035	0.022	0.138	0.036	0.071	0.016	0.016	0	0.718	1	0.646	0.063	0.065
0.039	0.039	0.032	0.022	0.007	0.072	0.024	0.009	0.021	0	0.401	0	0.632	0.067	0.063
0.042	0.044	0.032	0.03	0.036	0.038	0.035	0.008	0.115	0	0.246	2	0.616	0.387	0.073
0.048	0.058	0.044	0.022	0.033	0.075	0.05	0.09	0.027	0	0.275	2	0.664	0.062	0.064
0.054	0.04	0.032	0.052	0.004	0.044	0.077	0.097	0.033	0.056	0.606	1	0.666	0.051	0.06
0.039	0.039	0.032	0.022	0.027	0.053	0.054	0.101	0.031	0.056	0.572	0	0.644	0.06	0.062
0.039	0.062	0.032	0.022	0.037	0.042	0.047	0.272	0.015	0.077	0.567	0	0.62	0.061	0.074
0.039	0.039	0.034	0.073	0.061	0.038	0.1	0.515	0.017	0.056	0.498	2	0.594	0.054	0.082
0.039	0.078	0.043	0.022	0.018	0.025	0.026	0.551	0.015	0.056	0.569	2	0.606	0.063	0.087
0.063	0.044	0.039	0.064	0.058	0.037	0.075	0.525	0.072	0.112	0.713	0	0.602	0.186	0.102
0.566	0.039	0.032	0.124	0.176	0.034	0.736	0.401	0.533	0.462	0.372	3	0.794	0.056	0.128
0.107	0.039	0.043	0.044	0.024	0.088	0.085	0.04	0.238	0.056	0.366	1	0.64	0.8	0.335
0.07	0.041	0.032	0.043	0.018	0.047	0.017	0.009	0.01	0	1.01	1	0.514	0.062	0.055
0.039	0.062	0.039	0.033	0.021	0.023	0.038	0.467	0.013	0.056	1.34	0	0.446	0	0.058
