H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.034	0.017	0	0.035	0.023	0.026	0.005	0.06	0.01	0.021	1.2	0	0.51	0.048	0.055
0.041	0.014	0.032	0.021	0.022	0	0.046	0	0.037	0.04	0.54	6	0.65	0	0.061
0	0	0	0	0.004	0	0.005	2.76	0	0	1	0	0.476	0	0
0.034	0.014	0.036	0.021	0.004	0.041	0.023	0	0.01	0	0.423	0	0.494	0	0.068
0.031	0.021	0.041	0.032	0.004	0.039	0.019	0	0.008	0	0.063	0	0.42	0.064	0.055
0.045	0.014	0.035	0.069	0.015	0.021	0.022	0.07	0.024	0.021	0.51	0	0.498	0.059	0.068
0.033	0.027	0.039	0	0.021	0.028	0.023	0.037	0.007	0	0.9	0	0.538	0.048	0.06
0.035	0.028	0.039	0.076	0.02	0.038	0.019	0	0.011	0	2.39	0	0.512	0.048	0.071
0.034	0	0.033	0.021	0.014	0.049	0.035	0	0.01	0	0.111	0	0.524	0.048	0.067
0.041	0.022	0.036	0.024	0.022	0.058	0.014	0	0.007	0.021	1.52	0	0.406	0	0.055
0.034	0.011	0.032	0.047	0.015	0.018	0.013	0.037	0.011	0	2.42	0	0.508	0.048	0.055
0.034	0.042	0	0.028	0.036	0.018	0.014	0.07	0.008	0.021	1.33	0	0.464	0.048	0.055
0.033	0.03	0.032	0.021	0.036	0.033	0.048	0	0.016	0.021	0.75	0	0.54	0.054	0
0.047	0.022	0.032	0.028	0.004	0.066	0.022	0	0.006	0	0.38	0	0.552	0.048	0.055
0.054	0.077	0.036	0.025	0.023	0.018	0.041	0.658	0.01	0.042	0.251	0	0.468	0.052	0.055
0	0.038	0.032	0.041	0.01	0.152	0.014	0	0.01	0	0.152	0	0.49	0.056	0.055
0.031	0.04	0.039	0.049	0.015	0.042	0.023	0.479	0.01	0.021	1.13	0	0.474	0.048	0.055
0.04	0.053	0.032	0.025	0.023	0.02	0.04	0.344	0.007	0.024	0.51	0	0.36	0.048	0.055
0	0	0	0	0.004	0	0.005	0	0.011	0	5.05	0	0.364	0.062	0.228
0.035	0.033	0.04	0.049	0.004	0.047	0.023	0	0.006	0	0.056	0	0.386	0.056	0.06
0.031	0.03	0.037	0.028	0.004	0.042	0.023	0.07	0.016	0	0.349	0	0.466	0.048	0.055
0.034	0.046	0.036	0.053	0.023	0.025	0.014	0.355	0.01	0.021	0.415	0	0.338	0.048	0.055
0.033	0	0.036	0	0.015	0.076	0.014	0	0.006	0	0.248	2	0.554	0.048	0.066
0	0.049	0.032	0.021	0.015	0.021	0.005	0.567	0.008	0	2.37	0	0.352	0.048	0
0.041	0.028	0.034	0.077	0.018	0.021	0.065	0.11	0.04	0	1.67	0	0.502	0.048	0.105
0.039	0.017	0.038	0.045	0.042	0.053	0.032	0	0.017	0	0.401	1	0.46	0.048	0.074
0.045	0.034	0.039	0.035	0.018	0.018	0.014	0.567	0.01	0.082	1.38	0	0.456	0.054	0.055
0.034	0.035	0.039	0.026	0.012	0.02	0.014	0.407	0.005	0	0.738	0	0.41	0.048	0.055
0.055	0.056	0.034	0.129	0.051	0.028	0.057	0	0.017	0.082	0.889	0	0.42	0.051	0.055
0.039	0.025	0.045	0.027	0.007	0.021	0.044	0	0.008	0	0.33	0	0.502	0.054	0.067
0	0.035	0.033	0.04	0.01	0.04	0.019	0.037	0.014	0.021	0.816	0	0.326	0.048	0.055
0	0	0	0	0.004	0	0.005	0.088	0	0	1.49	0	0.466	0	0
0.043	0.032	0.039	0	0.01	0.033	0.019	0	0.013	0.021	0.65	0	0.456	0.048	0.059
0.031	0.021	0.033	0.04	0.015	0.057	0.045	0	0.015	0	0.484	0	0.552	0.057	0
0.173	0.073	0.034	0.215	0.054	0.026	0.053	0.567	0.022	0.051	0.367	0	0.428	0.048	0.076
0.034	0.036	0.036	0.047	0.031	0.021	0.023	0.07	0.014	0.04	0.719	0	0.47	0.048	0.055
0.036	0.039	0.032	0	0.027	0.021	0.005	0	0.007	0	0.662	0	0.36	0.067	0.055
0.034	0.017	0.032	0.032	0.021	0.041	0.022	0	0.009	0	0.106	0	0.452	0.056	0.068
0.049	0.016	0.036	0.021	0.015	0.054	0.014	0	0.014	0	0.829	0	0.532	0.051	0.055
0.031	0.112	0.041	0.026	0.015	0.037	0.01	2.08	0.008	0.042	0.969	0	0.406	0.048	0
0.039	0.027	0.032	0.044	0.032	0.08	0.023	0	0.007	0	0.617	1	0.476	0.048	0.085
0.04	0	0.037	0	0.015	0.042	0.023	0	0.006	0	2.1	0	0.404	0.048	0.055
0.031	0.015	0.035	0.028	0.021	0.031	0.023	0	0.008	0	0.94	0	0.434	0.048	0.055
