H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.199	0	0	0.028	0.214	0.018	0.394	0.338	0.31	0.24	0.428	0	0.554	0.101	0.131
0.049	0.052	0.045	0.037	0.023	0.043	0.032	0.095	0.01	0.068	0.606	0	0.49	0.063	0.068
0	0.029	0.033	0.036	0.017	0.033	0.022	1.41	0.008	0.042	1.8	0	0.486	0.048	0.055
0.514	0.011	0.034	0	0.712	0.018	1.17	0.574	0.05	0.06	0.539	3	0.748	0.048	0.065
0.041	0.08	0.033	0.065	0.052	0.026	0.058	0.074	0.018	0.053	0.999	0	0.528	0.058	0.068
0.035	0.019	0.041	0.039	0.029	0.031	0.036	0	0.031	0.053	0.718	1	0.646	0.048	0.055
0.166	0.014	0.032	0.037	0.072	0.031	0.253	0.053	0.025	0.024	0.693	3	0.716	0.048	0.055
0.04	0.016	0.032	0.032	0.029	0.024	0.03	0.07	0.013	0.061	0.887	2	0.698	0.048	0
0.078	0.025	0.034	0.08	0.017	0.038	0.036	0.07	0.062	0.023	0.401	0	0.632	0.063	0.08
0.034	0.013	0	0.026	0.004	0.036	0.03	0	0.035	0.024	0.246	2	0.616	0.198	0.085
0	0.011	0.032	0.028	0.01	0.02	0.034	0	0.027	0.022	0.244	3	0.69	0	0.055
0.044	0.014	0.036	0.065	0.011	0.028	0.034	0	0.027	0.021	0.275	2	0.664	0.048	0.055
0.106	0.014	0.036	0.081	0.163	0.021	0.17	0	0.111	0.04	0.606	1	0.666	0.048	0.108
0.075	0.011	0.033	0.137	0.127	0.024	0.101	0.048	0.11	0.038	0.572	0	0.644	0.067	0.06
0.042	0.059	0.04	0.039	0.014	0.039	0.052	0.085	0.008	0.057	0.752	0	0.588	0.048	0
0	0.016	0.034	0	0.011	0.027	0.016	0.711	0.009	0.052	2.15	0	0.596	0	0.055
0.034	0.017	0.038	0.028	0.011	0.025	0.024	0.743	0.01	0.029	0.981	0	0.65	0.056	0.071
0.059	0.014	0.056	0.04	0.014	0.038	0.034	0	0.011	0	3.83	0	0.432	0.048	0.068
0.031	0.047	0.032	0.021	0.025	0.03	0.044	0.277	0.012	0.054	1.95	0	0.582	0.062	0.079
0.042	0.025	0.038	0.025	0.004	0.034	0.03	0.558	0.009	0.028	0.567	0	0.62	0.048	0.067
0.103	0.023	0.044	0.099	0.104	0.04	0.081	0.182	0.025	0.048	0.498	2	0.594	0.048	0.055
0.034	0.017	0.033	0.041	0.025	0.024	0.048	0.182	0.02	0.021	0.569	2	0.606	0.048	0.055
0	0.028	0.037	0.047	0.041	0.03	0.022	0.182	0.039	0.038	0.713	0	0.602	0.058	0.063
0.143	0	0.032	0	0.123	0	0.137	0.116	0.085	0.133	0.372	3	0.794	0	0.055
0.084	0.027	0.034	0.126	0.094	0.025	0.095	0.07	0.071	0.024	0.366	1	0.64	0.614	0.219
0.249	0.016	0.046	0.043	0.007	0.018	0.056	0.07	0.04	0.028	0.276	2	0.67	0.048	0.055
0.045	0.07	0.032	0.048	0.042	0.035	0.073	0.462	0.015	0.06	2	1	0.56	0.048	0.055
