H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.031	0	0.032	0.102	0.021	0.022	0.019	0.077	0.038	0	0.087	2	0.696	0.045	0.06
0.048	0.062	0.039	0.044	0.008	0.086	0.014	0.077	0.017	0	0.213	0	0.486	0.054	0.06
0.041	0.076	0.036	0.044	0.008	0.022	0.015	0	0.017	0	0.061	0	0.466	0.033	0.06
0.031	0.07	0.04	0.044	0.017	0.02	0.014	0	0.019	0	0.248	0	0.542	0.046	0
0	0.046	0.038	0.044	0.02	0.014	0.028	0	0.015	0	0.247	0	0.544	0.033	0
0.034	0.046	0.036	0.054	0.017	0.028	0.024	0	0.016	0	0.228	0	0.606	0.048	0
0.044	0.066	0.037	0.054	0.043	0.026	0.005	0.673	0.009	0.114	0.472	0	0.312	0.038	0.06
0.043	0.051	0.041	0.044	0.016	0.017	0.041	0	0.008	0.05	0.114	0	0.462	0.033	0.06
0.031	0.046	0.032	0.054	0.008	0.024	0.005	0.016	0.009	0	0.484	0	0.396	0.033	0.077
0.031	0.046	0.033	0.044	0.008	0.068	0.045	0	0.019	0	0.107	0	0.45	0.033	0.077
0.031	0	0.032	0.052	0.022	0.02	0.037	0.016	0.012	0	1.44	0	0.438	0.04	0.089
0.045	0.054	0.037	0.061	0.015	0.038	0.079	0.016	0.026	0.05	0.436	0	0.466	0.039	0.06
0.042	0.046	0.037	0.066	0.028	0.045	0.034	0	0.019	0.05	0.783	0	0.412	0.046	0.074
0.038	0.084	0.042	0.044	0.046	0.068	0.037	0.216	0.014	0.056	0.118	0	0.45	0.033	0.06
0.044	0	0.042	0.049	0.075	0.034	0.005	0.212	0.008	0.078	0.161	0	0.306	0.046	0.06
0.038	0.085	0.035	0	0.013	0.033	0.019	0	0.01	0	0.125	0	0.444	0.033	0.06
0.031	0.046	0.036	0.058	0.016	0.028	0.034	0	0.017	0	0.122	0	0.514	0.037	0.06
0.035	0.063	0.038	0.044	0.027	0.044	0.035	0	0.012	0	0.277	0	0.396	0.033	0.097
0.039	0.095	0.037	0.051	0.039	0.088	0.05	0	0.011	0	0.165	0	0.446	0.033	0.06
0.034	0.085	0.036	0.044	0.012	0.02	0.042	0	0.012	0	0.072	0	0.538	0.033	0.073
0.048	0.046	0.032	0	0.031	0.045	0.045	0.016	0.011	0	0.175	0	0.406	0.046	0.06
0.042	0.077	0.032	0.044	0.04	0.024	0.032	0.498	0.005	0.07	1.21	0	0.356	0.039	0.06
0.051	0.062	0.048	0.044	0.047	0.025	0.032	0.255	0.012	0.094	0.819	0	0.358	0.044	0.06
0.035	0.046	0.042	0.044	0.02	0.037	0.042	0	0.013	0	0.26	0	0.44	0.04	0.06
0.038	0.046	0.043	0.044	0.034	0.069	0.005	0.068	0.006	0.05	1.35	0	0.326	0.036	0
0.044	0.046	0.039	0.052	0.049	0.021	0.021	0.767	0.014	0.05	0.202	0	0.342	0.033	0.06
0.037	0.046	0	0.044	0.029	0.043	0.005	0	0.009	0	0.18	0	0.314	0.047	0.06
0.064	0.057	0.033	0.044	0.022	0.025	0.019	0	0.008	0	0.079	0	0.366	0.033	0.06
0.034	0.046	0.033	0.044	0.007	0.023	0.034	0	0.012	0	0.205	1	0.476	0.039	0.06
0.039	0.054	0.037	0	0.024	0.016	0.005	0	0.009	0	0.141	0	0.402	0.043	0.06
0.037	0.046	0.044	0.044	0.007	0.023	0.005	0	0.01	0	0.57	0	0.43	0.033	0.06
0.034	0.046	0.036	0.078	0.011	0.025	0.005	0	0.01	0	0.143	0	0.368	0.038	0.077
0.045	0.054	0.051	0.044	0.027	0.03	0.005	0	0.008	0	0.203	0	0.344	0.039	0
0.04	0	0.037	0.044	0.015	0.028	0.005	0	0.013	0.05	0.806	0	0.428	0.042	0.06
0.054	0.075	0.085	0.044	0.031	0.03	0.005	1.46	0.014	0.079	0.571	0	0.378	0.036	0.06
