H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.057	0.076	0.032	0.213	0.013	0.031	0.088	0.097	0.024	0.11	0.295	0	0.56	0.047	0.06
0.128	0.074	0.054	0.1	0.645	0.033	0.25	0.215	0.372	0.114	0.606	0	0.49	0.106	0.097
0.031	0.095	0.036	0.104	0.018	0.019	0.056	2.2	0.032	0.064	0.725	7	0.666	0.038	0
0.036	0.101	0.034	0.141	0.054	0.019	0.105	1.33	0.027	0.167	1.28	0	0.538	0.036	0.066
1.38	0.046	0.052	0.121	0.508	0.031	0.341	0.218	0.75	0.308	0.399	1	0.614	0.11	0.06
0.031	0.113	0.045	0.044	0.007	0.016	0.025	3.02	0.021	0.081	2.36	0	0.562	0.033	0
0.031	0.054	0.032	0.048	0.044	0.022	0.062	2.69	0.028	0.106	1.8	0	0.486	0.06	0.111
0.032	0.089	0.042	0.07	0.034	0.024	0.04	2.78	0.017	0.273	1.2	0	0.458	0.041	0.077
0.033	0.087	0.036	0.15	0.036	0.017	0.034	2.82	0.03	0.172	1.81	0	0.556	0.05	0.06
0.04	0.15	0.038	0.069	0.039	0.024	0.078	1.52	0.021	0.072	1.08	0	0.52	0.046	0.077
0.031	0.126	0.044	0.066	0.051	0.025	0.06	3.9	0.017	0.107	0.886	0	0.448	0.042	0.119
0.031	0.117	0.037	0.044	0.033	0.015	0.044	0.426	0.014	0.057	0.592	0	0.462	0.061	0.092
0.034	0.06	0.057	0	0.029	0.019	0.024	0.488	0.01	0.066	1.55	0	0.444	0.033	0.06
0.058	0.073	0.033	0.084	0.066	0.029	0.05	0.527	0.044	0.078	1.65	0	0.462	0.035	0.06
0.048	0.139	0.032	0.127	0.097	0.036	0.061	17.2	0.012	0.403	1.13	0	0.458	0.058	0.06
1.2	0.119	0.041	0.07	0.95	0.028	1.2	205	0.015	0.128	1.8	0	0.544	0.051	0.103
0.038	0	0.034	0.071	0.016	0.074	0.026	0.06	0.005	0.05	3.26	0	0.5	0.04	0.06
0.044	0.093	0.038	0.153	0.155	0.033	0.123	0.061	0.029	0.065	1.22	0	0.458	0.072	0.092
1.17	0.054	0.041	0.074	0.458	0.03	0.739	0.668	0.141	0.117	0.265	0	0.478	0.478	0.465
0.045	0.077	0.038	0.242	0.186	0.017	0.214	0.549	0.046	0.071	0.637	0	0.578	0.142	0.073
0.041	0.167	0.049	0.065	0.046	0.02	0.049	4.25	0.011	0.1	1.92	0	0.514	0.036	0.073
0	0.164	0.033	0.044	0.017	0.022	0.105	1.43	0.02	0.099	1.3	0	0.514	0.047	0.077
0.031	0.12	0.034	0.044	0.017	0.016	0.029	0.964	0.01	0.074	1.91	0	0.514	0.033	0.06
0.031	0.089	0.041	0.06	0.03	0.015	0.036	0.883	0.011	0.063	2.72	0	0.454	0.033	0.068
0.031	0.173	0.038	0.044	0.037	0.015	0.059	1.52	0.016	0.085	1.03	0	0.434	0.043	0.068
1.46	0.079	0.032	0.128	0.385	0.027	0.811	0.39	1.75	0.192	0.376	5	0.68	0.067	0.089
0.031	0.122	0.038	0.132	0.03	0.016	0.046	0.547	0.095	0.082	3.88	0	0.504	0.063	0.06
0.031	0.086	0.049	0.068	0.022	0.02	0.04	0.531	0.015	0.068	3.03	0	0.5	0.048	0.07
1.11	0.071	0.039	0.354	0.521	0.026	1.08	2.44	0.153	0.084	0.702	3	0.68	0.057	0.082
0.038	0.095	0.034	0.044	0.023	0.022	0.055	0.341	0.017	0.101	2.45	0	0.492	0.044	0.077
0.033	0.137	0.033	0.235	0.047	0.019	0.109	1.96	0.014	0.074	0.33	1	0.636	0.057	0.06
0.051	0.105	0.034	0.044	0.049	0.021	0.062	0.88	0.02	0.215	0.45	0	0.486	0.05	0.06
0.031	0.069	0.032	0.044	0.024	0.017	0.057	0.513	0.022	0.064	1.59	6	0.57	0.054	0.06
